Tmax,Tmin,SRAD,RH,Tmax_Tmin,SRAD_RH,Weighted_Tmax,Weighted_Tmin,Year,Maha_Yield,District_AMPARA,District_ANURADHAPURA,District_HAMBANTOTA,District_POLONNARUWA
851.3510714285715,759.8764285714286,538.90125,2384.2467857142856,21585.554636479592,42584.57560746173,88.78583207717372,143.70669584554315,1985,3827.0,1,0,0,0
880.6280357142857,650.8225,532.2401785714286,2544.7489285714287,19370.98991094149,44891.03989343112,-182.6324450294127,28.267914506363113,1985,3972.0,0,1,0,0
838.74375,756.5241071428571,559.3353571428571,2448.8830357142856,21156.658858769133,45546.31452531888,-231.48680361900213,61.480001629794515,1985,4328.0,0,0,1,0
875.5825,689.7435714285714,538.90125,2494.206964285714,20147.08133137755,44542.690018271685,53.12885442834583,-22.44086108342993,1985,4874.0,0,0,0,1
848.1714285714286,760.9623214285714,516.9623214285714,2380.5871428571427,21542.94422372449,40652.955538265305,89.74902905470762,143.97656401792761,1986,3287.0,1,0,0,0
886.7626785714285,659.2426785714287,522.5025,2492.4019642857143,19525.812361511482,43018.63438973214,-178.8763671881152,29.75524209396082,1986,4567.0,0,1,0,0
833.8239285714286,757.3075,550.9796428571428,2465.1039285714287,21055.068365178573,45120.871329209185,-229.20866921381787,62.929655694767916,1986,4194.0,0,0,1,0
873.1796428571429,696.4146428571429,516.9623214285714,2473.4641071428573,20296.092184566325,42246.96304473852,53.83201693694103,-22.375225903198302,1986,4876.0,0,0,0,1
869.31125,766.3017857142856,528.1808928571429,2321.9135714285712,22231.055234885203,40559.855114413265,92.49974639210954,145.06760588842238,1987,3606.0,1,0,0,0
961.8791071428572,673.7025,540.9142857142857,2222.8264285714286,21620.1233908801,39552.504966836736,-201.63923950339972,29.318505196425363,1987,3867.0,0,1,0,0
855.1144642857142,760.8103571428571,566.7132142857143,2422.656785714286,21691.342688839286,45623.235407780616,-236.55056822790954,62.10025307747357,1987,4302.0,0,0,1,0
920.1992857142857,704.0273214285714,528.1808928571429,2322.369642857143,21630.23663635204,40411.136705548466,57.662267780646545,-21.871214470991266,1987,4912.0,0,0,0,1
875.8132142857143,783.6107142857143,523.1507142857142,2369.8014285714285,22904.50541211735,41047.142564923466,89.87621417543222,147.92101465512016,1988,3682.0,1,0,0,0
923.3982142857143,685.3591071428572,520.10625,2421.4080357142857,21146.211786862244,41421.24181342474,-193.0717817115078,29.47866115398596,1988,3544.0,0,1,0,0
862.7601785714286,782.5819642857143,544.8219642857143,2438.9069642857144,22515.11172512755,44158.40655589923,-238.5658805472052,65.15640751413947,1988,4853.0,0,0,1,0
916.28125,724.4160714285714,523.1507142857142,2380.3764285714287,22162.538841422192,41067.921944260204,54.6828097123262,-22.166706960681474,1988,4341.0,0,0,0,1
870.3057142857143,765.4760714285715,537.3776785714285,2283.8675,22236.65801632653,40508.09620019133,92.2611526730534,145.50235315768998,1989,3470.0,1,0,0,0
973.1637499999999,666.2975,545.2414285714286,2184.419642857143,21599.55677557398,39129.15820535715,-206.6986805048627,29.119798951827537,1989,3694.0,0,1,0,0
865.4605357142857,762.9646428571428,554.2846428571429,2337.70625,22017.68300682398,42879.043732589285,-238.10541995138905,64.57960108527975,1989,4321.0,0,0,1,0
935.0894642857143,703.3876785714285,537.3776785714285,2224.4142857142856,21937.782275478316,39304.912172066324,57.02475586528232,-21.98976202599466,1989,4266.0,0,0,0,1
874.3139285714286,776.0326785714286,545.1423214285714,2327.5958928571426,22642.250504145406,42052.98675373087,89.74690913786776,147.01100047160196,1990,3522.0,1,0,0,0
920.1746428571429,675.6823214285714,537.3535714285714,2412.7289285714287,20777.736350063777,42819.62976020408,-194.23055049861787,29.33062378550599,1990,3824.0,0,1,0,0
860.3123214285714,771.3,567.7533928571429,2412.580357142857,22131.137348214284,45500.42505376275,-238.57673146973193,63.492889116823534,1990,4179.0,0,0,1,0
917.9458928571429,713.6905357142857,545.1423214285714,2349.8039285714285,21883.02351591199,42340.138896109696,55.40844142922825,-22.44507080514473,1990,4554.0,0,0,0,1
887.09125,779.4005357142858,535.3846428571428,2284.249464285714,23073.57538663903,40321.602489859695,94.03591198428308,147.6807180737382,1991,3630.0,1,0,0,0
968.4051785714286,684.78375,535.9867857142857,2230.5589285714286,22095.241852327807,39228.94263335459,-205.15604313125655,29.15358420595765,1991,4096.0,0,1,0,0
868.6948214285715,772.5316071428572,557.6792857142857,2381.0364285714286,22375.024960299746,43938.367385714286,-239.3846746399662,63.99499464542996,1991,4455.0,0,0,1,0
948.1608928571428,723.6969642857143,535.3846428571428,2221.8878571428572,22883.29750341199,39094.81812735969,57.43903791671409,-22.337886466158988,1991,4438.0,0,0,0,1
875.1858928571428,765.2353571428572,563.5282142857143,2251.344642857143,22352.770817506378,41670.153698788265,92.31250047952791,145.76779640375358,1992,4098.0,1,0,0,0
935.5596428571429,655.9685714285715,565.8408928571429,2275.1863616071428,20480.718436607145,41917.17212106984,-192.6686276499607,31.79622276125112,1992,3594.0,0,1,0,0
864.1126785714285,763.0210714285714,577.915,2338.6524330357142,21981.77245411352,44466.91259523677,-238.83794047587475,64.12644383523187,1992,4637.0,0,0,1,0
932.0189285714285,698.0246428571429,563.5282142857143,2216.831004464286,21693.06348845663,40700.762736352044,56.834009344243405,-22.349071856902963,1992,4414.0,0,0,0,1
864.97,766.5273214285714,513.7983928571429,2312.6964285714284,22127.168325,39195.488911862245,89.42228976083953,145.58463792997745,1993,3400.0,1,0,0,0
